Property Name,Owner,IC Number,Phone 01,Phone 02
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
"Sunway Square Mall, L1-40, Jalan Lagoon Selatan, Bandar Sunway, 47500 Petaling Jaya, Selangor","Mohammed Asif
",11220915144,102895133,102895133
